Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-06-07,New York,Valley Stream,0,0,0,0,0,36000,20201249.0,36059,1395774.0
2024-06-06,Washington,Seattle,1,0,0,0,0,53000,7705281.0,53033,2269675.0
2024-06-06,Maryland,Reisterstown,0,0,0,0,1,24000,6177224.0,24005,854535.0
2024-06-05,North Carolina,Battleboro,0,0,0,0,1,37000,10439388.0,37127,94970.0
2024-06-05,North Carolina,Fayetteville,0,0,0,0,2,37000,10439388.0,37051,334728.0
2024-06-05,Pennsylvania,Pittsburgh,0,0,0,0,0,42000,13002700.0,42003,1250578.0
2024-06-03,California,American Canyon,0,0,0,0,1,06000,39538223.0,06055,138019.0
2024-05-30,Virginia,Hampton,0,0,0,0,1,51000,8631393.0,51650,137148.0
2024-05-30,Michigan,East Lansing,0,0,0,0,2,26000,10077331.0,26065,284900.0
2024-05-28,Pennsylvania,Chester,0,0,0,0,1,42000,13002700.0,42029,534413.0
2024-05-28,Oregon,Portland,0,0,0,0,0,41000,4237256.0,41051,815428.0
2024-05-25,California,Davis,0,0,0,0,0,06000,39538223.0,06113,216403.0
2024-05-25,Iowa,Des Moines,0,0,0,0,1,19000,3190369.0,19153,492401.0
2024-05-24,California,Bakersfield,0,0,0,0,1,06000,39538223.0,06029,909235.0
2024-05-24,South Carolina,Goose Creek,0,0,0,0,1,45000,5118425.0,45015,229861.0
2024-05-24,Texas,Arlington,0,0,0,0,1,48000,29145505.0,48439,2110640.0
2024-05-24,Texas,Seguin,0,0,0,0,1,48000,29145505.0,48187,172706.0
2024-05-24,New Mexico,Anthony,1,0,0,0,1,35000,2117522.0,35013,219561.0
2024-05-23,New York,Brooklyn,0,0,0,0,1,36000,20201249.0,36047,2736074.0
2024-05-23,Louisiana,Harvey,0,1,0,0,1,22000,4657757.0,22051,440781.0
2024-05-23,North Carolina,Salisbury,0,0,0,0,1,37000,10439388.0,37159,146875.0
2024-05-23,North Carolina,Raleigh,0,0,0,0,1,37000,10439388.0,37183,1129410.0
2024-05-23,North Carolina,Charlotte,0,0,0,0,1,37000,10439388.0,37119,1115482.0
2024-05-23,California,Oakland,0,2,0,1,4,06000,39538223.0,06001,1682353.0
2024-05-23,Iowa,Waterloo,0,0,0,0,0,19000,3190369.0,19013,131144.0
2024-05-22,California,Oakland,0,0,0,0,1,06000,39538223.0,06001,1682353.0
2024-05-22,South Carolina,Beaufort,0,0,0,0,1,45000,5118425.0,45013,187117.0
2024-05-22,Florida,Citra,1,0,0,0,1,12000,21538187.0,12083,375908.0
